Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,age,python_yn,R_yn,spark,aws,excel,company_txt,job_state
Data Scientist,₹240K - ₹333K (Glassdoor Est.),Data Scientist,"The Compliance Intelligence team in Microsoft 365 Security and Compliance organization is looking for an experienced, energetic, and hands on compliance Data analysts.

With exponentially growing data, expanding to clouds and growing data regulations, companies have a need for advanced intelligent systems to help them Protect, Govern, Manage risk, Discover. Investigate and respond with relevant data. Our team delivers the intelligence behind Compliance suite for Microsoft 365 customers. These award-winning intelligent technologies provide world class, enterprise data loss prevention, eDiscovery, auditing, information protection, information governance, regulations, and privacy solutions to 10s of millions of Microsoft 365 customers both on premises and in the cloud. This suite goes across Microsoft workloads and is a revenue and usage growth engine for Microsoft.
We are looking for candidates who are passionate about leading and pushing forward cutting-edge analysis and reserch for managing complex intelligent solutions for compliance scenarios.",Microsoft,4.4,Hyderābād,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),240,333,286.5,46,0,0,0,0,0,Microsoft,Hyderābād
Data Scientist,₹342K - ₹592K (Glassdoor Est.),Data Scientist,"Data Scientist (Ahmedabad)
InfoAnalytica Consulting is looking for a Data Scientist to join our Business Analytics & Data Management Practices at Ahmedabad. You will support our Products, Business Analytics, Marketing and Leadership teams with insights gained from analyzing large data sets.
You should be adept at leveraging your analytical, statistical and programming skills to collect, analyze and interpret large datasets to find actionable and using models and data mining/analysis methods to find opportunities for products and business analytics teams. You should have a passion for discovering solutions hidden in large data sets and working with stakeholders and teams to improve business outcomes.
The key aspects of this role:
Undertake preprocessing of structured and unstructured data
Assess the effectiveness and accuracy of new and existing data sources and, data gathering techniques",infoanalytica,3.5,Ahmedabad,201 to 500 Employees,2007,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,342,592,467,14,0,0,0,0,0,infoanalytica,Ahmedabad
Machine Learning Engineer,₹303K - ₹674K (Glassdoor Est.),Machine Learning Engineer,"Requisition ID: 234344
Requisition Posting End Date: 05/03/2021
Project Description:
NEOM Project Summary: Saudi Arabian Bechtel Company will provide executive project management consultancy services (including technical, commercial, and construction management) for the development of certain defined aspects of the NEOM Infrastructure in the Kingdom of Saudi Arabia.”

NEOM is a planned cross-border city in the Tabuk Province of northwestern Saudi Arabia. The site is near the Red Sea and the borders of Egypt, Israel, and Jordan. It will cover a total area of 26,500 km2 (10,200 sq. mi) and will extend 460 km along the coast of the Red Sea.”",Bechtel,3.9,South Andaman,10000+ Employees,1898,Company - Private,Architectural & Engineering Service,Business Service,$10+ billion (USD),303,674,488.5,123,0,0,0,0,0,Bechtel,South Andaman
Data Consultant,₹356K - ₹578K (Glassdoor Est.),Data Consultant,"Educational Requirements Bachelor of Engineering
- As a part of the consulting organization, you will be responsible for implementing elements of the Information management strategy. You will define, design, implement and operate Information processes to satisfy Information Management policy in the client organization. - Work with Infosys and client teams to identify the people, process, and technology capabilities required to deliver desired solution, and then plan for the implementation of those experiences.
• 6+ years of experience in data disciplines with experience on any of the following areas: -Data Warehouse strategy definition or solution design -Data Governance solution design & implementation -Data security solution design & implementation -Consumption strategy -Report rationalization -BI & Analytics Assessment -Solution Architecture Blueprint -Implementation Roadmap Creation -Data Modeling • Strong analytical, quantitative, problem solving and presentation skills • Good communication, articulation and interpersonal skills to effectively interface with various functional groups within the client organization • Ability to explore, research and create POVs. • Ability to come up with ideas for creating new service offerings • Ability to guide and mentor the team
ETL->IBM ->MDM,Data Management - Data Integration,Data Security,Data Management - DB,ETL & Data Quality
Work Experience 5",Infosys Limited,3.8,Bangalore,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),356,578,467,40,0,0,0,0,0,Infosys Limited,Bangalore
Sr Data Scientist,₹540K - ₹988K (Glassdoor Est.),Data Scientist,"Become Subject Matter Expert in Data Science and Machine Learning

Lead a team of data scientists, machine learning engineers and guide software engineers and QA engineers to deploy and test.

Lead and mentor junior team members in data collection, preprocessing, feature engineering, data visualization and analysis.

Engage with LOBs, users and analysts to explore and prototype opportunities and use-cases exploring data and the application of cognitive and machine learning technologies




3.00-13.00 Years",Lera Technologies Private Limited,3.8,Bangalore,51 to 200 Employees,2004,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,540,988,764,17,0,0,0,0,0,Lera Technologies Private Limited,Bangalore
Data Scientist,₹495K - ₹648K (Glassdoor Est.),Data Scientist,"Purpose of the Role

To work with clients across multiple sectors; applying the latest research and technology to overcome real life commercial problems.

The Opportunity

Peak are a Decision Intelligence company - where we are democratising AI for every business and building a great company that everyone loves being part of. We are on a mission to help organisations use AI to make great commercial decisions, all the time. Just as importantly, we are also focused on building an amazing company: one where we truly value our people & culture, and strive to make an amazing and diverse place to work. Our recent Best Companies award & World class accreditation for being one of the top companies to work for is a testament to this.

We have ambitious plans over the coming years - to create and lead a new category of enterprise software; the decision intelligence system (Decision Intelligence), expand our operations and create the best working culture possible. Being a Data Scientist at Peak places you right at the heart of the company and at the forefront of developing practical & innovative solutions to help our customers grow and become more efficient. This is an exciting opportunity to develop your career in data science and gain highly sought after experience in the Decision Intelligence field, as we start the next stage of our global growth.",Peak,3.1,Pune,51 to 200 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),495,648,571.5,9,0,0,0,0,0,Peak,Pune
Data Scientist,"₹490K - ₹1,000K (Glassdoor Est.)",Data Scientist,"About Wells Fargo

Wells Fargo & Company (NYSE: WFC) is a leading global financial services company headquartered in San Francisco (United States). Wells Fargo has offices in over 20 countries and territories. Our business outside of the U.S. mostly focuses on providing banking services for large corporate, government and financial institution clients. We have worldwide expertise and services to help our customers improve earnings, manage risk, and develop opportunities in the global marketplace. Our global reach offers many opportunities for you to develop a career with Wells Fargo. Join our diverse and inclusive team where you will feel valued and inspired to contribute your unique skills and experience. We are looking for talented people who will put our customers at the center of everything we do. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.


Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across Technology, Operations, Risk, Audit, Process Excellence, Automation and Product, Analytics and Modeling. We are operating in Hyderabad, Bengaluru and Chennai locations.



Product, Analytics and Modeling (PAM) brings a team member-based approach to the international talent pool focusing on analytical requirements. PAM encompasses roles that deliver meaningful insights, analysis and reporting based on skills, experience and judgment to support the Enterprise Analytics and Data Science (EADS) organization operate successfully today, and continue on the right trajectory to operate successfully in the future. EADS is the central analytics group tasked with solving high-impact business challenges and standing up cutting-edge analytical capabilities to be shared across Wells Fargo's analytic community.



Advanced Analytics Consultant/Data Scientist is a partner-facing role and is responsible for delivering high impact analytic and data science projects by using analytics and AI.
Primary role of the advanced analytics consultant in the AI Model Development COE is to apply business knowledge and advanced programming skills and analytics to serve as a subject matter expert, analyst, advisor and consultant to support model lifecycle - model development, performance testing, data analysis, model implementation, model production, delivery of model results, change management, documentation and governance.",Wells Fargo,3.7,Bangalore,10000+ Employees,1852,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),490,1000,745,169,0,0,0,0,1,Wells Fargo,Bangalore
Data Scientist I,₹732K - ₹988K (Glassdoor Est.),Data Scientist,"JOB FAMILY SUMMARY:
Makes sense of our data world through meaningful and actionable insights, identifying trends, delivering reports, informing product and infrastructure advancements, and promoting a culture of data-driven decision making.

JOB SUMMARY:
Data Scientist I focuses on extracting, understanding, manipulating and conveying complex data from MINDBODY’s production environment. This position works closely with their manager to prioritize tasks that are important to supporting our product and business units.",MINDBODY,3.8,Pune,1001 to 5000 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,732,988,860,20,0,0,0,0,0,MINDBODY,Pune
Data Scientist,₹730K - ₹941K (Glassdoor Est.),Data Scientist,"Job Duties and Responsibilities
Supports data preparation, on demand data processing for analytical solutions leveraging transformational technologies.
Works on multiple projects as an analytics platform COE team member or lead user story analysis, elaboration, design and development of analytical APIs, testing, and builds automation.
Works with team members to design and implement data analytics solutions within project schedules
Code, unit test, train data and create documentation for analytical applications according to the data and analytics blueprint
Works with data engineers and developers to make sure that all data solutions are consistent.
1078049",Hewlett Packard Enterprise,4.2,Bangalore,10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,730,941,835.5,6,0,0,0,0,0,Hewlett Packard Enterprise,Bangalore
Data Science Business Consultant (Analytics Consultant),₹394K - ₹822K (Glassdoor Est.),Analytics Consultant,"Experience: 2-3 Years
Location : Hyderabad or Pune, India
Job Overview:
Core Compete (www.corecompete.com) is a global cloud analytics firm. With our capabilities in Cloud Data Warehousing, AI & ML Innovation, Analytics Application Modernization, and Intelligent Decisioning, we accelerate value from cloud analytics for global Fortune 1000 companies. Our clients are in financial services, retail, manufacturing, and media. We are growing rapidly with around 300 employees spread across U.S., U.K., and India who specialize in cloud engineering, software engineering, data engineering, managed services, data science, and business consulting. We are a top-tier partner with AWS, Google Cloud, Azure, SAS, Snowflake, Databricks, and others, with 500+ certifications completed by our team members. Core Compete is a certified Great Place to Work (GPTW) company and our employees rate us highly on being the best place to learn and grow.",CoreCompete,4.3,Hyderābād,201 to 500 Employees,2012,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,394,822,608,9,0,0,0,1,0,CoreCompete,Hyderābād
Data Scientist,₹360K - ₹800K (Glassdoor Est.),Data Scientist,"Company Overview
American multinational manufacturer and marketer of branded consumer foods sold through retail stores.

Develop novel ways to help business partners achieve objectives through analysis & modelling
Think outside the box to identify & test new sources of information that unlock new business value
Curate and connect external data sets for broad enterprise-wide analytic usage",RGF Professional Recruitment,3.6,Mumbai,51 to 200 Employees,2011,Unknown,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,360,800,580,10,0,0,0,0,0,RGF Professional Recruitment,Mumbai
Data Scientist,₹380K - ₹800K (Glassdoor Est.),Data Scientist,"5+ Years
Coimbatore | Chennai

What’s interesting about this role?

Apart from being a part of a successful team and a successful project, you will play an active role in helping
Payoda and businesses around the world transform for the better. You will also be an owner and catalyst in the

following:
We are looking for a passionate data scientist to become part of the Bigdata and Data Science team to
create real-time, data driven solutions for flag bearing organizations in Telecom and FinTech domains.

You are expected to develop, drive, and deliver data-based solutions and make technical innovations
happen.

You will have the opportunity to use cutting-edge technology across all stages of model development and
data management lifecycle.

You will have the opportunity to use big data technologies to tame real-world data science scenarios

What’s it going to take?

Well, we believe it takes a great deal of skill, passion, and perseverance to make this role successful. Here are a


Excellent understanding of Machine Learning algorithms

Hands-on data scrapping, data exploration, hypothesis building, and model development

Excellent understanding of deep learning and NLP concepts

Hands-on Scikit-learn, Tensor flow, Pytorch like frameworks

Good command over Python and R

Exposure to Big data stack is good to have

But in addition to all this technical experience and expertise, if you have great communication skills and a strong
work ethic, take ownership of duties and perform well against timelines, you’d be the best fit for us.",Payoda,4.3,Coimbatore,201 to 500 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),380,800,590,16,1,0,0,0,1,Payoda,Coimbatore
Data Scientist,₹342K - ₹592K (Glassdoor Est.),Data Scientist,"Data Scientist (Ahmedabad)
InfoAnalytica Consulting is looking for a Data Scientist to join our Business Analytics & Data Management Practices at Ahmedabad. You will support our Products, Business Analytics, Marketing and Leadership teams with insights gained from analyzing large data sets.
You should be adept at leveraging your analytical, statistical and programming skills to collect, analyze and interpret large datasets to find actionable and using models and data mining/analysis methods to find opportunities for products and business analytics teams. You should have a passion for discovering solutions hidden in large data sets and working with stakeholders and teams to improve business outcomes.
The key aspects of this role:
Undertake preprocessing of structured and unstructured data
Assess the effectiveness and accuracy of new and existing data sources and, data gathering techniques",infoanalytica,3.5,Ahmedabad,201 to 500 Employees,2007,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,342,592,467,14,0,0,0,0,0,infoanalytica,Ahmedabad
Data Scientist - IPA,₹468K - ₹976K (Glassdoor Est.),Data Scientist,"ID: 17773
Posted: 3/15/2021
Location: Bangalore,
Category: Big- Data
Job Type: Permanent
Duration: Permanent


Description",Aleron,3.2,Bangalore,10000+ Employees,1957,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,468,976,722,64,0,0,0,0,0,Aleron,Bangalore
Jr Data Analyst,₹396K - ₹746K (Glassdoor Est.),Data Analyst,"Job Title: Junior Data Scientist / Junior Data Analyst
Experience: 1 to 2 Years
Roles and Responsibilities:
People, with no prior experience in the field and/or domain will spend their initial months in understanding data, do basic analysis and validation, reports, to get deeper understanding of the business.
Candidates with prior relevant experience will work in development and implementation of predictive models and recommend actionable insights; they will use advanced machine learning techniques, among others, as per business requirements.
Qualification & Experience:",Applied Data Finance,4.4,Chennai,51 to 200 Employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable,396,746,571,7,0,0,0,0,0,Applied Data Finance,Chennai
Data & Analytics : Data Engineer (SAP HANA),₹900K - 0 (Glassdoor Est.),Data Engineer,"Who We Are


Today’s results-oriented business environment is more than that – it’s a period of disruption between the pandemic, global business change and internal process complexity. For us to focus on simplicity and the best customer experience, we need phenomenal talent and the right skillsets to be successful. This is now a mantra for our Cisco leadership team and for us.

The Digital Enterprise Solutions team is changing the way we run Cisco’s operations by improving the power of technology, the best of business processes and superior data insights. Together, we will Reimagine the Cisco experience. Show the world how to Reinvent applications and bring to bear the future of the Internet to Showcase the power of Cisco: our people, products, processes, systems, and data. Please join us and make this journey together!



Work with multiple complex data sets to accelerate operational and strategic data oriented decision making.

Understand the opportunities and business drivers building insight and solutions for those through data.

Hands-on delivery on Data Analysis, data acquisition, data cleanup, data threading, and make it available and consumable for business use cases.

Learn and apply data science tools and techniques including python, machine learning and data visualization.

Learn various eye for business from diverse groups within Cisco and apply the functional knowledge in your day-to-day work.

Lead a data engineering development team, and be responsible for the quality of its work.

Build, own and support the Enterprise Data Foundation datasets.

Identify and prioritize business and technical requirements using agile methodologies.

Work with a variety of product owners, scrum masters and development teams across different time zones.

Learn and apply data science tools and techniques including SQL, ELT/ETL, Python, machine learning and data visualization.



As part of the Digital Enterprise Solutions team, you will work with Data & Analytics - Product Engineering group,

To help provide data engineering and analytics solutions which will enable Cisco to be more data-driven to optimize its day to day operations and strategy.

In this role you will be collaborating closely with Customer Experience, Finance, Sales, IT and other Architecture and Engineering groups.



We’re seeking a hardworking and experienced individual who can, identify a business problem and solving it through data driven insights.

Experience in building requirements to improve data gathering for analytic purposes.

Got experience to Perform, Support and Lead all aspects of Different Functions like Data Analysis, acquisition, cleanup, data threading, and visualization.

A quick learner who understands and learns the business functionality and new technology landscape on the go.



BS/MS or equivalent (Advanced degree preferred)

10-12+ years of full-time data engineering/analytics experience.

Should have a very good hands on experience in working with



Cloud DB platforms (Snowflake, AWS, Google)



SQL, Python for Data Engineering and Data Science



Experience in leading Data Engineering/Data Migration projects.



Working knowledge in Tableau or Power BI or similar data analytics and presentation tools.

Certification in SAP Hana or Teradata or Snowflake or Data Engineering tool kits are a plus.

Domain/business knowledge on Finance/Sales, Bookings, Revenue/Install Base/Telemetry/Customer Success-Experience/Support Services are preferred

Should have experience in storytelling with data in form of visuals.

Familiarity with advance analytics and machine learning topics.

Outstanding analytical thinking and aptitude.

Good written and verbal communication skills, and comfortable presenting findings to executive level audience and translating data into understandable concepts.



#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an expansive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, aggressive steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",Cisco Systems,4.3,Bangalore,10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),900,0,450,37,1,1,0,1,0,Cisco Systems,Bangalore
GAMMA Senior Data Scientist,₹827K - ₹987K (Glassdoor Est.),Data Scientist,"Location:
Bengaluru, Chennai, Mumbai, New Delhi
Geography:
Asia Pacific
Capabilities:
Big data & advanced analytics, Technology & digital
Industries:
Technology industries",Boston Consulting Group,4,Bangalore,10000+ Employees,1963,Company - Private,Consulting,Business Service,$5 to $10 million (USD),827,987,907,58,0,0,0,0,0,Boston Consulting Group,Bangalore
