Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Engineer,₹510K - ₹766K (Glassdoor Est.),Data Engineer,"67203

Job Summary
We are looking for Data Enthusiastic Software Engineers to join our DATA TEAM.

We build a platform to support the business operations and improve productivity throughout the organization, working with a variety of data sources, technologies and stakeholders.

Our current tech stack is: Node.js, ELK, DynamoDB, MySQL, Serverless (Lambda) and other AWS services. The list is ever changing…

Most of the programming is done with JavaScript and SQL.

We have an extensive set of automated tests (unit/E2E/UI), that help us deliver high quality services.

You will:


















Database, Electrical, Engineer, Computer Science, Technology, Engineering, Research",NetApp,4.3,Bangalore,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
Senior Data Scientist,-1,Data Scientist,"Relocation Assistance Offered Within Country
# 95044 - Mumbai, Maharashtra, India

What is the PURPOSE of your role?

This role is expected to apply strong expertise in data science and machine learning through leading data collection & mining, data analysis, data visualizations, and predictive/prescriptive modeling efforts to build, test, and maintain analytics solutions which meet key business needs. The ideal candidate will be experienced with 1) statistical and mathematical techniques to identify trends & anomalies, identify causal impacts, and develop predictions, 2) experimental design, 3) end-to-end model deployment and maintenance, 4) simple data engineering tasks like SQL querying for standard and ad-hoc data analysis, and 5) co-leading a small, multidisciplinary analytics team to generate actionable insights from internal client-facing analytics solutions. The ideal candidate will be a strong communicator with the ability to tell stories and draw insights from complex transformations of data for non-technical audiences. This role will work with an analytics translator, junior data scientist, data engineers, and key business partners to define the business problem in a way that can be solved analytically. Candidates in this role will lead the development of efficient and accurate analytical models (ranging from descriptive to prescriptive) and incorporate them into data products or tools which meaningfully make an impact on the business.",Colgate-Palmolive,4.2,Mumbai,10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Engineer,₹756K - ₹852K (Glassdoor Est.),Data Engineer,"Req. ID: 283502
Micron Technology’s vision is to transform how the world uses information to enrich life and our commitment to people, innovation, tenacity, collaboration, and customer focus allows us to fulfill our mission to be a global leader in memory and storage solutions. This means conducting business with integrity, accountability, and professionalism while supporting our global community.

As a Global Procurement Data Engineer at Micron Technology Inc., you are a key member of a cross-functional team responsible for developing advanced solutions and predictive models that enable speed in decision making and deliver significant value across procurement. You are required constantly to learn new cutting-edge technology and creatively apply/deliver solutions to the Global Procurement area. You will collaborate with various roles and teams across the enterprise to design and implement solutions to extract data and insights from Global Procurement team and partnering organizations such as Supply Chain and IT, as well as Master Data, Data Governance and Data Scientist throughout the enterprise.",Micron,3.8,Hyderābād,10000+ Employees,1978,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Data Scientist, II",-1,Data Scientist,"19-Apr-2021

Job ID
317359BR
{""QuestionName"":""Job Description"",""AnswerValue"":""20+ brands catering to 50+ disease areas! The team of Novartis specialists within Insights & Analytics are on a data and digital transformation journey, leveraging analytics to generate actionable insights for Novartis medicines impacting more than 500 million patients worldwide. The team is poised to enable easier, faster and reliable decisions for Novartis divisions across the globe.

Your Responsibilities:

Your responsibilities include but not are limited to:

•Understands complex and critical business problems from a variety of stakeholders and business functions, formulate integrated analytical approach to mine data sources, employ statistical methods and machine learning algorithms to contribute solving unmet medical needs, discover actionable insights and automate process for reducing effort and time for repeated use.

•High agility to be able to work across various business domains. Integrate business presentations, smart visualization tools and contextual storytelling to translate findings back to business users with a clear impact.

•Independently set strategy, manage budget, ensuring appropriate staffing and coordinating projects within the area supervised.

•Innovate by transforming the way to solve a problem using Data Science & Artificial Intelligence.

•Articulates solutions /recommendations to business users. Presents analytical content concisely and effectively to non-technical audiences and influences non-analytical business leaders to drive major strategic decisions basis analytical inputs

•Coordinates, prioritize and efficiently allocates the team resources to critical initiatives: plans resources proactively, anticipates and actively manages change, sets stakeholder expectations as required, identifies operational risks and enable the team to drives issues to resolution, balances multiple priorities and minimizes surprise escalations

•Proactively evaluates the need of technology and novel scientific software, visualization tools and new approaches to computation to increase efficiency and quality of the Novartis data sciences practices. Contribute to the development of Novartis data science capabilities.

•Provides agile consulting, guidance and non-standard exploratory analysis for unplanned urgent problem. Independently identifies research articles and reproduce /apply methodology to Novartis business problems


Data Scientist, II",Novartis,4.2,Hyderābād,10000+ Employees,1996,Company - Public,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD)
Data Engineer,-1,Data Engineer,"The database market is massive (the IDC estimates it to be $89B+ by 2024!) and MongoDB is at the head of its disruption. The MongoDB community is transforming industries and empowering developers to build amazing apps that people use every day. We are the leading modern data platform and the first database provider to IPO in over 20 years. Join our team and be at the forefront of innovation and creativity.

Headquartered in New York, with offices across North America, Europe, and Asia-Pacific, MongoDB has more than 17,000 customers, which include some of the largest and most sophisticated businesses in nearly every vertical industry, in over 100 countries.

MongoDB is growing rapidly and seeking a Data Engineer to be a key contributor to the overall internal data platform at MongoDB. You will build data-driven solutions to help drive MongoDB's growth as a product and as a company. You will tackle complex data-related problems using very diverse data sets.



As a Data Engineer, you will


In 3 months- you will have familiarized yourself with much of our data platform, be making regular contributions to our codebase, will be collaborating regularly with partners to widen your knowledge and helping to resolve incidents and respond to user requests.

6 Months- you will have successfully investigated, scoped, executed, and documented a small to a medium-sized project and worked with partners to make sure their data needs are satisfied by implementing improvements to our platform.

12 Months- you will have become the key person for several projects within the team and will have contributed to the data platform's roadmap. You will have made several sizable contributions to the project and are regularly looking to improve the overall stability and scalability of the architecture.

To drive the personal growth and business impact of our employees, we're committed to developing a supportive and enriching culture for everyone. From employee affinity groups, to fertility assistance and a generous parental leave policy, we value our employees' wellbeing and want to support them along every step of their professional and personal journeys. Learn more about what it's like to work at MongoDB, and help us make an impact on the world!

MongoDB is committed to providing any necessary accommodations for individuals with disabilities within our application and interview process. To request an accommodation due to a disability, please inform your recruiter.

MongoDB is an equal opportunities employer.",MongoDB,4.5,Gurgaon,1001 to 5000 Employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,-1,Data Engineer,"Data Engineer


Apply now
Job no: 527923
Work type: Full time
Location: India
Categories: Information Technology
Office Location: Bangalore
Job Purpose
TMF provides a range of services for Corporates to assist them in: a) running a local business, b) preparing to enter a new market or c) operating across many borders. These services include Corporate Secretarial, Accounting & Tax, and HR & Payroll.

In addition to this, TMF Group is a recognized global player in the administration of Capital Markets transactions and PERE investments, providing a complete range of fund and business services.

The role is IT Developer (Data Engineer) for TMF Group and the role will report to the Data & Insights Technical Lead.

Primarily role is to ensure timely design and deliver Data Warehouse / ETL Processes and PowerBI Reports & dashboards assigned by the development manager in a cost-effective manner. Data preparation, data quality and master data management with tools like SSIS, DQS, MDS. The Developer is expected to work within the security standards and code quality requirements of the group including full documentation and use of source control.",TMF Group,3.3,India,5001 to 10000 Employees,1988,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD)
Experienced Data Scientist,-1,Data Scientist,"At Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the seabed to outer space, you’ll learn and grow, contributing to work that shapes the world. Find your future with us.
At the highest level, diversity and inclusion are part of Boeing's values. Having diverse employees, business partners and community relationships is vital to creating advanced aerospace and defense products and services for our diverse customers around the world. The company's commitment to diversity means providing a work environment for all employees that is welcoming, respectful and engaging, with opportunities for personal and professional development.
Boeing Research & Technology (BR&T) is the preferred provider of technologies and innovation across the entire Boeing enterprise. We work across the complete product lifecycle of Boeing's commercial aircraft, military aircraft, rotorcraft, space vehicles, UAVs, and advanced vehicle prototypes. We provide innovative support for our current and future products and services, act as global scouts for innovative technologies, and solve our customers' most difficult technology challenges. Boeing Research & Technology-India (BR&T-India) is part of Boeing India Engineering & Technology Center (BIETC, based in Bangalore) focused on innovation, and developing and transitioning new technologies in support of Boeing products and services.",BOEING,3.8,Bangalore,10000+ Employees,1916,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD)
Professional - Data Scientist / Analytics,-1,Data Scientist,"Job Description:

Sutherland is seeking an analytical person to join us as an Sr. Profession - Data Scientist to be responsible for Predictive modelling and provide insights from the data. We are a group of dynamic and driven individuals. If you are looking to build a fulfilling career and are confident you have the skills and experience to help us succeed, we want to work with you!
Data Scientists in this role get to:
Keep management updated: Relay vital information in the form of timely and accurate reports
Impact the bottom line: Produce solid and effective strategies based on accurate and meaningful data reports and analysis and/or keen observations",Sutherland,3.7,Hyderābād,10000+ Employees,1986,Company - Private,Staffing & Outsourcing,Business Service,$1 to $2 billion (USD)
Data Scientist III - CDP,₹558K - ₹723K (Glassdoor Est.),Data Scientist,"Who are we and What do we do?
InMobi is a global provider of enterprise platform for marketers. Our platforms help Marketers reach nearly 1.56 billion unique users through mobile to help them engage, acquire, re-engage, re-market and retain valuable users. InMobi is also India's first unicorn and one of the only profitable global tech-product companies to emerge out of India.
At 20+ offices across the globe, InMobi employs over 1000 personnel constituting 25 nationalities. Acclaimed for its culture, InMobi has consecutively featured on the Great Places to Work (GPTW) list, with a consistent hold in the Top 50 position for the past two years. Moreover, these accolades are not just restricted to India, InMobi has also secured a ranking on the GPTW's 2017 China List, a notable feat for an Indian startup.
InMobi has also regularly featured on world disruptor lists – MIT Technology Review's 2013 50 Disruptive Companies; Fast Company's Most Innovative Companies for 2016, 2018; CNBC's Disruptor 50 list of 2018, here InMobi was selected amongst a pool of more than 980 forward-thinking and ambitiou private companies across the globe, we now share this space with the likes of SpaceX, Airbnb, Uber and so on.",InMobi,4.1,Bangalore,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,-1,Machine Learning Engineer,"About Us

Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. We advise, originate, trade, manage and distribute capital for governments, institutions and individuals. As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. We provide you a superior foundation for building a professional career where you can learn, achieve and grow.",Morgan Stanley,4,Bangalore,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Engineer,₹936K - 0 (Glassdoor Est.),Data Engineer,"Location


Bangalore

Office Address

Project Description


This project is related to a large retailer in UK to work on Supplier lifecycle Management, Product Life Cycle Management and Price and promotions .",Luxoft,4.2,Bangalore,10000+ Employees,2000,Company - Public,IT Service,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"We look for the risk-takers , the collaborators , the inspired and the inspirational . We want the people who are brave enough to work at the cutting edge and create solutions that will enrich and improve the lives of people across the globe. So, if you want to make the world say wow, let's talk.
The conversation starts here. If this role matches your ambitions and skillset, let's get started with your application . Take a look at our other open positions too. Our many opportunities can lead to infinite possibilities .

Job Overview
Sony is looking for a Data Scientist(Sr. Software Engineer)to analyze large amounts of raw data generated from its various projects and systems continuously, and to build data products to extract valuable insights and inferencing capabilities for enhancing the product and service components for one of its major product line.",Sony India Software Centre Pvt Ltd,3.1,Bangalore,1001 to 5000 Employees,1988,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Engineer,-1,Data Engineer,"Responsibilities
. Expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams.
. Support software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.
. Create and maintain optimal data pipeline architecture.
. Assemble large, complex data sets that meet functional / non-functional business requirements.
. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
. Develop real-time data ingestion pipelines


. A successful history of manipulating, processing and extracting value from large disconnected datasets.
. Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
. Experience in Develop data pipelines using Azure Data Factory, SQL data base & Data Lake, Databricks
. Experience with big data tools: Hadoop, Spark, Kafka, etc.
. Experience with relational SQL and NoSQL databases, including Cosmos DB , Postgres and Cassandra.
. Experience with object-oriented/object function scripting languages: Python
Secondary Skills:
. Experience with data pipeline and workflow management tools: Azure Monitor, Azkaban, Luigi, Airflow, etc.
. Experience with stream-processing systems: Spark-Streaming.
. Reporting tools: Power BI, tableau etc


. Experience with AWS cloud services: EC2, EMR, RDS, Redshift
. Understanding of messaging infrastructure like event hub, service bus & notification hub.
. Experience with stream-processing systems: Storm

. Takes strong initiative and ownership
. Good at communicating within team as well as with all stake holders
. Strong customer focus & Highly proactive
. Experience supporting and working with cross-functional teams in a dynamic environment.
. Good at decision making",QuEST Global Engineering,3.3,Bangalore,10000+ Employees,1997,Company - Private,Aerospace & Defence,Aerospace & Defence,$100 to $500 million (USD)
Data Scientist,-1,Data Scientist,"Imagine New Horizons
Dassault Systèmes Knowledge base is online resource to help users to learn, troubleshoot and stay updated with the Dassault Systèmes processes. In this position as a “Data Scientist”, your mission will be to reveal or leverage information from data to create predictive and prescriptive models supporting operational actions, strategic decisions and application development. You will play a major role in analyzing knowledge base searches and patterns, business data to generate insights and identify Gaps/opportunities to enhance knowledge base content, develop intelligent, predictive, and prescriptive features for support applications. You will work in a fast-paced environment alongside Software developers, Product managers and Technical Support located across Dassault Systèmes (DS) offices in Europe, the Americas, and India.


What will your job be?",Dassault Systèmes,3.4,Pune,10000+ Employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Data Scientist,-1,Data Scientist,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!",Adobe,4.4,Noida,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Scientist,₹240K - ₹333K (Glassdoor Est.),Data Scientist,"The Compliance Intelligence team in Microsoft 365 Security and Compliance organization is looking for an experienced, energetic, and hands on compliance Data analysts.

With exponentially growing data, expanding to clouds and growing data regulations, companies have a need for advanced intelligent systems to help them Protect, Govern, Manage risk, Discover. Investigate and respond with relevant data. Our team delivers the intelligence behind Compliance suite for Microsoft 365 customers. These award-winning intelligent technologies provide world class, enterprise data loss prevention, eDiscovery, auditing, information protection, information governance, regulations, and privacy solutions to 10s of millions of Microsoft 365 customers both on premises and in the cloud. This suite goes across Microsoft workloads and is a revenue and usage growth engine for Microsoft.
We are looking for candidates who are passionate about leading and pushing forward cutting-edge analysis and reserch for managing complex intelligent solutions for compliance scenarios.",Microsoft,4.4,Hyderābād,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist/ML Engineer,-1,Data Scientist,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!",Adobe,4.4,Bangalore,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Engineer,-1,Data Engineer,"The Upstox Story:
One of the fastest growing stock broking companies and first brokers in India to introduce commission-free trading for investors. Our customers enjoy zero brokerage on equity delivery trades and a flat Rs. 20 per order pricing model on all other segments.
We are on our way to become the leader in low-cost brokerage and No.1 stock broker in the country. We scaled from a customer database of 25k customers in 2017 to 2 Lakh customers in 2019 to 2+ Million customers now.
The company will continue to be driven by its guiding principle of making trading in stock markets simple and affordable for all.
Company’s focus on high-design and leading-edge technology seeks to revolutionise the online trading industry in India, all at disruptive price points. Backed by Ratan Tata, Upstox had raised $4 million in Series A funding in early 2016 that was led by Kalaari Capital. The round also saw participation from health care tech firm GVK Davix Technologies Pvt Ltd. US-based investment firm Tiger Global Management invested $25 million in the company in September 2019 in a Series B funding round.",Upstox,4.1,Mumbai,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Integrated Analytics has pioneered a transaction based revenue methodology to inform and guide Mastercard’s Strategy, Product Design and Innovation. We build internal analytic partnerships, strengthening their focus on the health of the business, portfolio and revenue optimization opportunities, initiative tracking, new product development and Go-To Market strategies.

Are you excited about Data Assets and the value they brings to an organization?
Are you an evangelist for data driven decision making?
Are you motivated to be part of a Global Analytics team that builds large scale Analytical Capabilities supporting end users across 6 continents?
Do you want to be the go-to resource for data analytics in the company?

Role
All About You

Education

Additional Competencies",MasterCard,4.3,Gurgaon,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
